0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-211.7385947227478,-23.958120346069336,-24.549999809265138,-24.7834876537323,-25.367454385757448,-25.775745010375978,-26.138857746124266,-26.773898696899415,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-30.693399667739868,-28.996375131607056,-31.537450790405273,-32.11742582321167,-32.29375405311585,-32.73915019035339,-32.93039135932922,-33.312232637405394,-33.79772391319275,-33.970922756195066,-34.36763434410095,-34.85139489173889,-35.056466245651244,-35.262976837158206,-35.689299726486205,-36.27302713394165,-120.0
-120.0,-40.80992364883423,-41.417198991775514,-41.61440000534058,-41.99230704307556,-42.39623703956604,-42.9980028629303,-43.19989252090454,-43.63783016204834,-43.81929740905762,-44.29684662818909,-44.49316582679749,-44.71574201583862,-45.154864931106566,-45.67710337638855,-45.87537851333618,-46.31686263084411,-46.51529603004455,-46.97292160987854,-47.19893164634705,-47.83490705490112,-120.0,-120.0
-120.0,-50.475626945495605,-53.01825189590454,-53.19467430114746,-53.412766790390016,-53.96845703125,-54.394794940948486,-54.59547843933105,-55.115838575363156,-55.318886041641235,-55.51504578590393,-56.012840604782106,-56.49604506492615,-56.695916175842285,-22.176232385635377,-57.41551342010498,-57.617378044128415,-58.11336264610291,-58.3144289970398,-59.01792306900025,-59.237686729431154,-120.0,-120.0
-64.09948267936707,-64.24868340492249,-64.79285626411438,-64.98996424674988,-65.45308966636658,-65.677654504776,-66.1165419101715,-66.3206169128418,-66.53758687973023,-66.95781836509704,-67.47390518188476,-67.676913022995,-68.25765290260316,-68.43386101722717,-68.95618076324463,-69.17407398223877,-69.61992611885071,-69.81267099380493,-70.31586966514587,-70.51412420272827,-71.1538941860199,-120.0,-120.0
-75.01881351470948,-73.85964870452881,-75.81992974281312,-76.67492179870605,-77.29602789878845,-77.49051623344421,-77.9963360786438,-78.21760663986205,-78.67461075782776,-78.85927181243896,-79.4196843624115,-79.59914412498475,-80.21334810256958,-80.39609837532043,-80.97616415023803,-81.17543239593506,-81.67943758964539,-81.89456629753113,-82.41854238510132,-82.63481392860413,-83.01901988983154,-84.39606103897094,-120.0
-87.83539924621581,-86.29225764274597,-88.89629697799683,-89.09610404968262,-89.53488183021545,-89.73430743217469,-90.31276760101318,-90.49728240966797,-90.71527070999146,-91.23719067573548,-91.4390851020813,-91.93518509864808,-92.49350643157959,-92.6942705154419,-93.13725275993347,-93.35729660987855,-93.83853659629821,-94.01919903755189,-94.57524194717408,-94.77131152153015,-95.13693370819092,-96.4187174797058,-120.0
-99.65503320693969,-100.19702215194702,-100.76911573410034,-100.9798234462738,-101.39999508857727,-101.59497804641724,-101.83545637130737,-102.25879487991332,-102.6989046573639,-102.89500370025635,-103.33929572105407,-103.53993186950683,-103.95801362991332,-104.15527753829956,-104.59744777679444,-104.7944435119629,-105.3378430366516,-105.53419318199158,-106.19767093658447,-106.41311144828796,-106.8008484363556,-107.15868315696716,-108.19624133110047
-120.0,-110.37694153785705,-112.94029502868652,-113.11565651893616,-113.46894631385803,-113.8801121711731,-114.09744710922241,-114.53956170082093,-114.91449880599976,-115.4190779685974,-115.61914205551147,-116.15696272850036,-116.35956435203552,-84.89295649528503,-117.096315574646,-117.6350821018219,-117.85558371543884,-118.37779660224915,-118.57638812065125,-119.05819993019104,-119.23715734481812,-119.61425757408142,-120.81954264640808
-120.0,-122.89881634712219,-124.9995337486267,-125.19664888381958,-109.73682999610901,-125.91882848739624,-126.33939599990845,-97.28739099502563,-126.93779911994935,-127.13407497406006,-127.65660457611084,-127.86127524375915,-128.43942193984986,-128.65740942955017,-129.1981215953827,-129.39711627960205,-129.65967903137206,-130.19683442115783,-130.6183853149414,-130.7971073627472,-131.27756781578063,-131.49377102851867,-132.2387532234192
